ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.022869416844943938,1.0,0.019186598869688966,0.0037854117839999993,2289.5002972068064,392292.82249172137,36.96430102031302,5.068563201178265,119328.09523754439,196725.3391745494,101325.0,1.444
0.022832547221840353,1.0,0.019163766322467125,0.0037854117839999993,2285.0085566103708,391500.86079797073,36.934374388716044,5.062531480318108,119235.88078463906,196568.90326954235,101325.0,1.445
0.022795753240034605,1.0,0.01914097056922709,0.0037854117839999993,2280.527620396774,390710.84824619995,36.90448521050218,5.0565094793996375,119143.78177160856,196412.6665305449,101325.0,1.446
0.02275903470966722,1.0,0.019118211534517423,0.0037854117839999993,2276.0574577017874,389922.7791443805,36.874633421080325,5.050497178490694,119051.79799859553,196256.62860517474,101325.0,1.447
0.02272239144144592,1.0,0.01909548914307598,0.0037854117839999993,2271.598037763642,389136.64781981416,36.84481895600327,5.044494557709123,118959.92926619128,196100.7891418603,101325.0,1.448
0.022685823246643637,1.0,0.019072803319829336,0.0037854117839999993,2267.149329922642,388352.4486190587,36.815041750967346,5.0385015972226235,118868.17537543447,195945.14778983852,101325.0,1.449
0.022649329937096518,1.0,0.019050153989892238,0.0037854117839999993,2262.711303620777,387570.1759078515,36.785301741811956,5.032518277248603,118776.53612780989,195789.70419915282,101325.0,1.45
0.022612911325201976,1.0,0.019027541078567037,0.0037854117839999993,2258.283928401334,386789.82407103654,36.75559886451921,5.026544578054032,118685.01132524713,195634.45802065032,101325.0,1.451
0.022576567223916762,1.0,0.01900496451134312,0.0037854117839999993,2253.867173908516,386011.3875124891,36.72593305521356,5.020580479955288,118593.60077011955,195479.40890598015,101325.0,1.452
0.02254029744675501,1.0,0.018982424213896364,0.0037854117839999993,2249.4610098870594,385234.8606550432,36.69630425016139,5.014625963318015,118502.30426524281,195324.5565075906,101325.0,1.453
0.022504101807786284,1.0,0.018959920112088576,0.0037854117839999993,2245.065406181852,384460.23794041644,36.66671238577057,5.008681008556976,118411.12161387378,195169.9004787273,101325.0,1.454
0.02246798012163365,1.0,0.01893745213196694,0.0037854117839999993,2240.6803327375546,383687.51382913825,36.63715739859019,5.0027455961359015,118320.0526197093,195015.44047343047,101325.0,1.455
0.022431932203471804,1.0,0.01891502019976347,0.0037854117839999993,2236.3057595982245,382916.6828004764,36.60763922531006,4.996819706567352,118229.09708688491,194861.17614653293,101325.0,1.456
0.02239595786902511,1.0,0.018892624241894446,0.0037854117839999993,2231.941656906938,382147.73935236473,36.57815780276039,4.990903320412564,118138.25481997368,194707.10715365803,101325.0,1.457
0.022360056934565685,1.0,0.01887026418495988,0.0037854117839999993,2227.587994905418,381380.67800133023,36.54871306791134,4.984996418281315,118047.52562398501,194553.23315121714,101325.0,1.458
0.02232422921691154,1.0,0.01884793995574297,0.0037854117839999993,2223.244743933659,380615.4932824218,36.51930495787273,4.97909898083177,117956.90930436332,194399.5537964073,101325.0,1.459
0.02228847453342467,1.0,0.018825651481209543,0.0037854117839999993,2218.9118744295583,379852.1797491387,36.48993340989355,4.973210988770343,117866.40566698698,194246.06874720939,101325.0,1.46
0.0222527927020092,1.0,0.018803398688507535,0.0037854117839999993,2214.5893569285463,379090.73197335843,36.460598361361676,4.967332422851553,117776.01451816702,194092.77766238543,101325.0,1.461
0.022217183541109423,1.0,0.018781181504966424,0.0037854117839999993,2210.2771620632175,378331.1445452673,36.43129974980346,4.96146326387788,117685.73566464602,193939.68020147685,101325.0,1.462
0.022181646869708062,1.0,0.018758999858096717,0.0037854117839999993,2205.975260562964,377573.41207328753,36.40203751288325,4.955603492699626,117595.56891359676,193786.77602480163,101325.0,1.463
0.022146182507324298,1.0,0.01873685367558939,0.0037854117839999993,2201.683623253613,376817.52918400906,36.3728115884032,4.9497530902147675,117505.51407262117,193634.06479345297,101325.0,1.464
0.022110790274011964,1.0,0.01871474288531538,0.0037854117839999993,2197.4022210570606,376063.49052211805,36.34362191430274,4.943912037368821,117415.57094974912,193481.54616929634,101325.0,1.465
0.0220754699903577,1.0,0.01869266741532502,0.0037854117839999993,2193.1310249909125,375311.2907503283,36.31446842865828,4.938080315154697,117325.73935343722,193329.21981496768,101325.0,1.466
